[-12.11488995333896, -77.04880989019237]
[-12.114499943384203, -77.04842993852144]
[-12.11710994230448, -77.04615995150347]
[-12.11355995485259, -77.04909990404225]
[-12.111719959467521, -77.05143987995174]
[-12.110327607212016, -77.05149932658915]
[-12.127375524145707, -77.03235390630763]
[-12.107679965955981, -77.05028988283607]
[-12.106789975476815, -77.05161992323194]
[-12.1061999733123, -77.05248988096253]
[-12.107879958165753, -77.05383995410699]
[-12.107189959896345, -77.05448988687922]
[-12.106229938616153, -77.05518994343242]
[-12.106129942511274, -77.0552798812535]
[-12.105339948136987, -77.05600994502008]
[-12.105339948136987, -77.05600994502008]
[-12.10461994265421, -77.05668988500568]
[-12.10377995022749, -77.0574599304504]
[-12.108279942585284, -77.0534698930818]
[-12.102119956213102, -77.0578199331918]
[-12.101199958520567, -77.05759990823343]
[-12.100009937817234, -77.05698995713935]
[-12.099019951233188, -77.05644991111777]
[-12.097969950222392, -77.05592989784476]
[-12.098529945173553, -77.05465995569465]
[-12.098529945173553, -77.05465995569465]
[-12.099549938970966, -77.0553899356422]
[-12.099759947555029, -77.05490990404734]
[-12.100549941929316, -77.0558899161666]
[-12.100899970205916, -77.05512992900569]
[-12.10181996789845, -77.05648989279591]
[-12.102239943157059, -77.05537987735839]
[-12.102589971433673, -77.05686992828589]
[-12.103179973598188, -77.05556989510337]
[-12.10321995527633, -77.05718994934912]
[-12.103769975762702, -77.05638989669103]
[-12.104179976556537, -77.05578992006173]
[-12.104969970930824, -77.05593995612857]
[-12.105184291827552, -77.05515188638002]
[-12.104369952392005, -77.05490990404734]
[-12.10562996198685, -77.05472994458616]
[-12.10495995455652, -77.05442995627152]
[-12.104479964871189, -77.05427992020468]
[-12.103899937171448, -77.05418989856457]
[-12.103449954699471, -77.05412988413784]
[-12.10248997532878, -77.05399988081957]
[-12.10113994409383, -77.05387993578515]
[-12.099979972513381, -77.05377993968025]
[-12.098909938754005, -77.05366988529157]
[-12.099059974820847, -77.05297988702216]
[-12.099079965659925, -77.05224990707461]
[-12.100119950296417, -77.05308994141086]
[-12.100239937240374, -77.05238988485765]
[-12.101269947412078, -77.05319991198051]
[-12.10139995073034, -77.0525198881759]
[-12.10271997475192, -77.05264989149414]
[-12.102849978070168, -77.05244989928438]
[-12.104379968766295, -77.05267989870751]
[-12.105729958091743, -77.0532098864453]
[-12.106409939986847, -77.05377993968025]
[-12.104649949867579, -77.05184992265508]
[-12.103959951598185, -77.05170994487204]
[-12.102929941426467, -77.05143987995174]
[-12.10163996652777, -77.05138992380881]
[-12.100449945824437, -77.0512299132772]
[-12.098939945967373, -77.05085993607103]
[-12.0989299715026, -77.05065994386126]
[-12.098889947914927, -77.05015987951782]
[-12.098809942649126, -77.04777992193019]
[-12.099733171706768, -77.04311058913389]
[-12.098809942649126, -77.04777992193019]
[-12.098969953180742, -77.04695992034253]
[-12.099199952603882, -77.04585987936979]
[-12.09940996118793, -77.04479990389422]
[-12.099609953397703, -77.04372995395387]
[-12.099709949502582, -77.04324992235901]
[-12.100159973884075, -77.04070995423976]
[-12.100619972730343, -77.03800989176986]
[-12.100839955779179, -77.03808993894518]
[-12.10181996789845, -77.03838992725983]
[-12.10279993810822, -77.03853987950764]
[-12.10355996717864, -77.03872989725262]
[-12.10320993890204, -77.04024995539349]
[-12.1029799394789, -77.0413699452958]
[-12.102789963643431, -77.04218994688344]
[-12.102589971433673, -77.04305990461403]
[-12.102239943157059, -77.04457987893586]
[-12.102039950947301, -77.04537993159396]
[-12.102899976122615, -77.04639992539137]
[-12.103089951958083, -77.0456099310171]
[-12.103279969703067, -77.04480987835899]
[-12.103429963860393, -77.04414988730296]
[-12.103609965231087, -77.04330993678575]
[-12.103799941066555, -77.04242992077135]
[-12.103989958811553, -77.04158988643512]
[-12.104259939912822, -77.04052991095955]
[-12.104389943231084, -77.03994988325981]
[-12.104569944601778, -77.03896995495957]
[-12.103819973815149, -77.03880994442795]
[-12.104829951238273, -77.0389998783539]
[-12.105679960039296, -77.03913993995597]
[-12.10545997699046, -77.04019991543153]
[-12.105069967035703, -77.04185995135543]
[-12.10488996566501, -77.04267995294309]
[-12.104769978721052, -77.04312989350554]
[-12.104689973455237, -77.04355988513844]
[-12.103580638918656, -77.04638975266214]
[-12.104499955710253, -77.04439991947469]
[-12.104339945178637, -77.0450899177441]
[-12.104269956287126, -77.04542988773689]
[-12.104139952968865, -77.04589994486696]
[-12.102989955853204, -77.04677987706232]
[-12.102859952534956, -77.04803992856668]
[-12.1029799394789, -77.04893989351064]
[-12.103019963066572, -77.04989995670034]
[-12.103969967972475, -77.05044989336768]
[-12.104989961769888, -77.05085993607103]
[-12.105036760685753, -77.04920765398298]
[-12.105036760685753, -77.04920765398298]
[-12.110209999999938, -77.03653999999995]
[-12.127375524145707, -77.03235390630763]
[-12.105036760685753, -77.04920765398298]
[-12.105659969200218, -77.04751991529368]
[-12.106549959679384, -77.04770993303866]
[-12.108549965596083, -77.04809994299342]
[-12.108739941431551, -77.0473399558325]
[-12.107539946263444, -77.047079949196]
[-12.106719944675788, -77.04692991312916]
[-12.105879952249055, -77.046369918178]
[-12.105979948353948, -77.04580992322686]
[-12.10768994042077, -77.04623991485975]
[-12.108909968337471, -77.04652992870963]
[-12.109789942442347, -77.04675992813276]
[-12.109259954704555, -77.04491993274769]
[-12.10802995232308, -77.0446398933626]
[-12.106309943881968, -77.04424988340784]
[-12.106469954413583, -77.04349995453073]
[-12.105409978938013, -77.0432598968238]
[-12.108199937319469, -77.04389993895028]
[-12.109419965236171, -77.04416992005154]
[-12.109599966606865, -77.04342988182019]
[-12.109539952180128, -77.0427499418346]
[-12.108699959753409, -77.04187990028498]
[-12.108069975910738, -77.04122988369373]
[-12.106369958308704, -77.04215993967007]
[-12.105719941717439, -77.04198995467368]
[-12.106069969994053, -77.0403999076413]
[-12.107069972952388, -77.04018994096675]
[-12.107634955135936, -77.03958489328603]
[-12.107619951529244, -77.03946993548398]
[-12.107219967109714, -77.03952994991072]
[-12.106799949941603, -77.0385899194696]
[-12.107249974323082, -77.03786991398682]
[-12.109986515621857, -77.04073811975091]
[-12.108229944532837, -77.03902988556727]
[-12.108989973603272, -77.03825992394158]
[-12.10859996364853, -77.03768995452565]
[-12.1084399531169, -77.03704991239917]
[-12.107209950735424, -77.03709995236113]
[-12.106209947777074, -77.03716994125264]
[-12.105079941500478, -77.03716994125264]
[-12.104999978144193, -77.03792992841356]
[-12.103949977133396, -77.03777989234672]
[-12.102929941426467, -77.03763991456368]
[-12.101929938468118, -77.03750991124544]
[-12.100939951884072, -77.03737990792719]
[-12.100009937817234, -77.03724990460894]
[-12.098979969555032, -77.03712987575547]
[-12.09799995743576, -77.03657993908813]
[-12.096459950365343, -77.03574987921665]
[-12.096119938463033, -77.03688990186755]
[-12.09577996847024, -77.03823989119299]
[-12.095469963781284, -77.0393499066305]
[-12.095299978784894, -77.0399699160084]
[-12.09528996241059, -77.04086988095234]
[-12.095409949354547, -77.04171988975337]
[-12.09551996183373, -77.04252991687625]
[-12.095679972365346, -77.04361989956517]
[-12.095829966522672, -77.04474994775128]
[-12.095989977054288, -77.04587991211837]
[-12.09617995288977, -77.04703988369882]
[-12.096309956208017, -77.04814989913635]
[-12.095979960679998, -77.0481999390983]
[-12.096119938463033, -77.04929989625201]
[-12.096119938463033, -77.04929989625201]
[-12.096299939833727, -77.05028988283607]
[-12.096119938463033, -77.05049993332965]
[-12.096279948994649, -77.05158991601857]
[-12.096429943151975, -77.05263991702937]
[-12.096549972005448, -77.05342991140365]
[-12.096539955631144, -77.05385990303655]
[-12.09601994235814, -77.0549399112607]
[-12.096949956424979, -77.0553899356422]
[-12.09751996775043, -77.0543298763476]
[-12.097789948851698, -77.0535599147219]
[-12.098369976551439, -77.05360995468386]
[-12.098359960177149, -77.05235987764428]
[-12.097679978282045, -77.05244989928438]
[-12.097569965802862, -77.05139989827359]
[-12.097416333959606, -77.05033732471537]
[-12.097319975540657, -77.0491398857204]
[-12.097129957795673, -77.04805987749624]
[-12.097489960537061, -77.04799994688854]
[-12.09815996796739, -77.04788989249984]
[-12.098049955488207, -77.04677987706232]
[-12.097309959166367, -77.04686989870243]
[-12.097139974169963, -77.04571990158675]
[-12.097899961330882, -77.04562987994665]
[-12.097979966596696, -77.04563993823047]
[-12.098149951593086, -77.0445599300063]
[-12.097739950799266, -77.04448994111479]
[-12.096979963638347, -77.04456990447108]
[-12.096829969481021, -77.04344991456878]
